Wine,Grape sort,Year,Region,Country,Acetoine,Acetaldehyde,Methanol,1-propanol,Ethyl lactate,Isobutanol,1-butanol,2-butanol,2-methyl-1-butanol,3-methyl-1-butanol,2-methyl-1-propanol,1-pentanol,1-hexanol,"2,3-butanediol",2-phenylethanol,3-(Methylthio)-1-propanol,Hexyl acetate,Ethyl octanoate,Diethyl succinate,2-phenylethyl acetate,Diethyl malate,Ethyl decanoate,Isoamyl alcohol,Isoamyl acetate,1-heptanol,Ethyl acetate,Isopropyl acetate,Isobutyl acetate,Ethyl butyrate,Ethyl hexanoate,Ethyl isovalerate,Pentyl acetate,Phenyl acetate,Ethyl caprylate,alpha-TERPINEOL,Linalool ,Nerol,Citronellol,Geraniol,1-octanol,Hexanoic acid,Octanoic acid,Decanoic acid,Propanoic acid,butyric acid,2-methylpropanoic acid,2-methylbutyric acid,3-methylbutyric acid,Dodecanoic acid,DOI,Descriptors,Herbs and spices,Tobacco/Smoke,Wood,Berries,Citrus,Fruits,Nuts,Coffee,Chocolate/Cacao,Flowers
Varietales,Maturana ,2018,Logrono, Spain,0.0708,0,0,0,0.208,0,0,0,0,30.857,0.9905,0,0.4593,0.1698,28.1906,0,0,1.446,0.302,0.878,0.107,0.285,0,3.716,0,0,0,0,0.325,1.153,0,0,0,0,0,0,0,0,0,0.0471,1.634,5.934,0.199,0.211,0,0,0,0,0,10.3390/beverages7010010 ,"Green, cut grass, floral, fusel, rose, citrus, alcohol, banana, toasted, herbaceous, cocoa, fruity, smoky, nut, cooked vegetable, lilac, caramel, apple, strawberry, raspberry, grape, papaya, light fruity, wine, over-ripe, peach, cheese, fatty, rancid, wood, spicy, lactic, spices, clove",1,0,1,1,0,0,1,0,1,0
La Pequenita,Maturana ,2018,Logrono, Spain,0.0723,0,0,0,0.443,0,0,0,0,32.5897,0.8096,0,0.4315,0.2091,32.7255,0,0,2.335,1.166,1.13,0.284,0.361,0,4.373,0,0,0,0,0.425,1.913,0,0,0,0,0,0,0,0,0,0.0567,1.635,5.978,0.12,0.145,0,0,0,0,0,10.3390/beverages7010010 ,"peach in syrup, quince paste, earth and spices",1,0,0,0,0,1,0,0,0,0
Limite Norte,Maturana ,2018,Logrono, Spain,0.0767,0,0,0,0.2397,0,0,0,0,26.1794,0.9785,0,0.5046,0.15004,25.8105,0,0,1.365,0.308,0.733,0.1108,0.29,0,3.021,0,0,0,0,0.285,1.077,0,0,0,0,0,0,0,0,0,0.0584,2.32,5.938,1.046,0.125,0,0,0,0,0,10.3390/beverages7010010,"golden pear skin, ripe lemon and dried lemon zest, oak barrel",0,0,1,0,1,1,0,0,0,0
8 Rios,Merlot,2015,Maule, Chile,0,0,0,15.97,2.27,88.01,10.44,0,64.99,125.5,0,3.95,1.24,20.56,157.56,0,0,0.73,5.75,0,0.84,0.17,0,0.92,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,6.91,3.4,0,0,0.65,0,0,0,0,10.1002/jsfa.10395,"Roses, honey, cheese, alcohol, solvent, green, bitter, herbaceous, grass, woody, banana, sweet, floral, fruity, pear, pineapple, strawberry, fatty, pleasant, rancid, fatty acid",1,0,1,0,0,1,0,0,0,1
Valley Andino,Merlot,2015,Maule, Chile,0,0,0,11.57,2.67,76.45,9.73,0,47.6,93.99,0,2.39,0.94,20.09,238.97,0,0,0.58,12.78,0,0.38,0.18,0,0.76,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,7.56,3.41,0,0,1.97,0,0,0,0,10.1002/jsfa.10395,"notes of plum, cherry and currant",0,0,0,1,0,1,0,0,0,0
Mapu,Merlot,2015,Maule, Chile,0,0,0,12.41,2.72,72.31,9.1,0,45.49,88.85,0,2.05,0.94,16.83,137.36,0,0,0.68,14.7,0,0.59,0.19,0,1.16,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,7.23,3.89,0,0,1.66,0,0,0,0,10.1002/jsfa.10395,red fruits (cherries) and blackberries,0,0,0,1,0,1,0,0,0,0
TerraMater Limited Reserve,Merlot,2015,Maule, Chile,0,0,0,12.35,3.69,77.91,7.81,0,46.05,95.28,0,1.52,0.67,13.67,216.31,0,0,0.61,23.05,0,0.37,0.18,0,0.97,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,6.09,3.43,0,0,1.07,0,0,0,0,10.1002/jsfa.10395,"cherries, blackberries, currants, undergrowth, sweet spices and herbs",1,0,1,1,0,0,0,0,0,0
Santa Digna Merlot,Merlot,2015,Maule, Chile,0,0,0,11.9,3.32,75.24,9.67,0,49.78,93.48,0,1.66,0.89,15.58,166.28,0,0,0.65,16.99,0,0.29,0.2,0,0.92,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,6.83,3.29,0,0,1.27,0,0,0,0,10.1002/jsfa.10395,"plum and blackberry jam, vanilla and licorice",1,0,0,1,0,0,0,0,0,0
TerraMater Vineyard Merlot,Merlot,2015,Maule, Chile,0,0,0,14.47,3.12,78.51,8,0,49.12,103.1,0,2.04,0.77,10.93,162.63,0,0,0.84,22.65,0,0.35,0.26,0,0.89,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,7.31,3.18,0,0,0.91,0,0,0,0,10.1002/jsfa.10395,"ripe dark fruits and berries, spicy spices, tobacco, herbs and leather",1,1,0,1,0,1,0,0,0,0
Vina Maipo,Merlot,2015,Maule, Chile,0,0,0,13.84,4.44,83.02,8.86,0,57.14,109.29,0,1.55,0.71,12.28,170.07,0,0,0.82,24.95,0,0.38,0.25,0,1.15,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,6.3,3.67,0,0,1.84,0,0,0,0,10.1002/jsfa.10395,"cherries, currants, licorice and spices",1,0,0,1,0,0,0,0,0,0
Clasico,Merlot,2015,Maule, Chile,0,0,0,15.48,3.36,78.91,10.11,0,45.93,91.14,0,1.75,0.91,12.91,203.26,0,0,0.64,22.59,0,0.4,0.2,0,1.15,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,4.53,3.05,0,0,1.1,0,0,0,0,10.1002/jsfa.10395,fruity and spicy accents,1,0,0,0,0,1,0,0,0,0
3 Tres Medallas,Merlot,2015,Maule, Chile,0,0,0,13.19,3.59,73.77,9.47,0,57.16,109.67,0,1.78,0.86,14.81,172.54,0,0,1.01,15.6,0,0.24,0.25,0,0.98,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,6.57,3.5,0,0,1.23,0,0,0,0,10.1002/jsfa.10395,"cherries, black currants, blueberries, plums, spicy",1,0,0,1,0,1,0,0,0,0
Cruz de Plata,Chardonnay,2012,Castilla-La Mancha, Spain,0,0,0,0,0.012,0,0.0152,0,0,0,0.155,0,0.268,0,0,0,0.0727,1.247,0.828,0,0.115,0.479,0,0,0,0,0,0,0.0871,0.674,0,0,0,0,0,0.00593,0,0.00433,0,0,0.694,2.545,0.558,0,0.0905,0,0,0,0,10.1111/1750-3841.12077,"notes of passion fruit, peach and citrus",0,0,0,0,1,1,0,0,0,0
Castell de Raimat,Chardonnay,2012,Castilla-La Mancha, Spain,0,0,0,0,0.628,0,0.0184,0,0,0,0.205,0,0.401,0,0,0,0.0056,0.763,8.93,0,1.437,0.0967,0,0,0,0,0,0,0.103,0.871,0,0,0,0,0,0.00335,0,0,0,0,1.019,2.635,0.381,0,0.0982,0,0,0,0,10.1111/1750-3841.12077,"peach, apricot, tropical fruits, lemon and lime, sweet notes of ripe melon and floral",0,0,0,0,1,1,0,0,0,1
Urbezo,Chardonnay,2012,Castilla-La Mancha, Spain,0,0,0,0,0.0561,0,0.02204,0,0,0,0.286,0,0.299,0,0,0,0.0141,0.864,4.331,0,0.386,0.0363,0,0,0,0,0,0,0.0927,0.83,0,0,0,0,0,0.00216,0,0,0,0,0.827,2.718,0.4,0,0.0107,0,0,0,0,10.1111/1750-3841.12077,tropical fruits (pineapple) and white flowers,0,0,0,0,0,1,0,0,0,1
12 e Mezzo,Malvasia,2014, Piedmont, Italy,0,0,0,0,0,0,0,0,1.059,0.0217,0.0417,0,0.128,0.332,3.9897,0,0.285,53.796,0.689,0,0,17.801,0,0,0,0.162,0,0,0,6.485,0,0,0,0,0.135,0.937,0.0091,0.136,0.0387,0,0.0265,0.542,0.124,0,0,0,0,0,0,10.1016/j.foodchem.2016.09.142,"Bright, fruity, floral, ripe tropical fruit, citrus, notes of vanilla and honey",0,0,0,0,1,1,0,0,0,1
Callas,Malvasia,2014, Piedmont, Italy,0,0,0,0,0,0,0,0,0.7278,0.0251,0.0517,0,0.135,0.302,3.72,0,0.0874,34.818,0.965,0,0,13.697,0,0,0,0.144,0,0,0,5.586,0,0,0,0,0.118,0.608,0.011,0.178,0.036,0,0,0.119,0.0536,0,0,0,0,0,0,10.1016/j.foodchem.2016.09.142,"citrus fruits, mint, aromatic herbs, floral and mineral shades",1,0,0,0,1,0,0,0,0,1
Bodegas Avancia,Godello,2012, Ourense, Italy,11,50,21,13,10,0,0,0,51,211,43,0,1.2,700,28,0,0.19,0.76,0,0.05,0,0.15,0,0.2,0,71,0,0,0.12,0.46,0,0,0,0,2.3,0,2.2,0,3.3,0,2.96,2.66,0.65,0,1.84,0,0,0,0,10.1016/j.foodres.2018.05.074,"rich, ripe fruits, sweet spices and aromatic herbs interspersed with delicate notes of oak",1,0,1,0,0,1,0,0,0,0
Guitian,Godello,2012, Ourense, Italy,12,55,21,13,11,0,0,0,47,211,42,0,1.1,684,26,0,0.25,0.83,0,0.07,0,0.2,0,0.2,0,81,0,0,0.13,0.46,0,0,0,0,3.6,0,3,0,6,0,3.45,3.12,0.84,0,2.06,0,0,0,0,10.1016/j.foodres.2018.05.074,"fruit bones (peach) and citrus fruits (grapefruit), with broad plants (fennel) and nuts (almond), woody acacias (woody and oriental shades: sandalwood and incense)",1,0,1,0,1,0,1,0,0,0
,Godello,2013, Ourense, Italy,5,27,23,17,6,0,0,0,57,245,31,0,1.3,670,40,0,0.48,0.41,0,0.15,0,0.2,0,0.4,0,23,0,0,0,0.42,0,0,0,0,3.7,2.7,0,4.5,4.4,0,2.51,1.89,0.75,0,1.38,0,0,0,0,10.1016/j.foodres.2018.05.074,,0,0,0,0,0,1,0,0,0,1
,Godello,2013, Ourense, Italy,4,24,26,21,7,0,0,0,61,281,35,0,1.4,704,44,0,0.39,0.5,0,0.19,0,0.19,0,0.5,0,24,0,0,0,0.41,0,0,0,0,3.7,3,0,4,4.5,0,2.67,2.45,0.77,0,1.38,0,0,0,0,10.1016/j.foodres.2018.05.074,,0,0,0,0,0,1,0,0,0,1
As Sortes,Godello,2014, Ourense, Italy,0,3,16,17,5,0,0,0,49,217,26,0,1.3,943,32,0,0.37,0.38,0,0.08,0,0.01,0,1,0,33,0,0,0.07,0.26,0,0,0,0,1.6,7.4,0,18.4,4.6,0,2.13,2.43,0.68,0,0.89,0,0,0,0,10.1016/j.foodres.2018.05.074,"orchard, hints of ripe fruit, notes of iodine, smoke, yeast and minerals",0,0,0,0,0,1,0,0,0,1
,Godello,2014, Ourense, Italy,0,3,16,17,7,0,0,0,52,232,28,0,1.2,993,34,0,0.27,0.44,0,0.1,0,0.01,0,1.2,0,38,0,0,0.09,0.29,0,0,0,0,2.4,7.8,0,17,5.1,0,2.37,2.71,0.75,0,0.8,0,0,0,0,10.1016/j.foodres.2018.05.074,,0,0,0,0,0,1,0,0,0,1
"
   Nectar Pedro Ximenez Sherry",Pedro Ximenez,2010, Cordoba, Spain,37,110,57.5,8.4,0,0,0.079,0.0046,0,0,0,0.0057,0.09,123,0,0,0,0.0017,0.12,0.0014,0.021,0,0,0,0,16,0,0,0,0.0051,0,0,0,0,0,0,0,0,0,0,0.03,0.00313,0.0077,0.08,0,0,0,0,0,10.1016/j.foodchem.2012.07.058,"intense, Very sweet aromas of raisins and caramel, with hints of wood, Velvent, vibrant ",0,0,1,0,0,1,0,0,0,0
San Emilio,Pedro Ximenez,2010, Cordoba, Spain,139,240,144,76,0,24,0.497,0,0,0,0,0.011,0.183,1698,23,0,0,0.0078,1.02,0.094,0.039,0,59,0.0147,0,56,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0.061,0.035,0.0069,1.259,0,0,0,0,0,10.1016/j.foodchem.2012.07.058,"ripe fruits, dried figs and roasted coffee beans",0,0,0,0,0,1,0,1,0,0
La Cilla,Pedro Ximenez,2010, Cordoba, Spain,234,347,160,88,0,22,0.688,0,0,0,0,0.012,0.197,3100,19,0,0,0.0084,0.98,0.073,0.033,0,54,0.0077,0,70,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0.0494,0.026,0.0107,1.237,0,0,0,0,0,10.1016/j.foodchem.2012.07.058,"plum, raisin, toffee, caramel and chocolate",0,0,0,0,0,1,0,0,1,0
Casa Del Inca,Pedro Ximenez,2010, Cordoba, Spain,168,270,161,69,0,18.2,0.28,0,0,0,0,0.0112,0.206,2184,14.6,0,0,0.0079,0.97,0.082,0.037,0,38,0.01,0,82,0,0,0,0.0169,0,0,0,0,0,0,0,0,0,0,0.069,0.042,0.0048,1.241,0,0,0,0,0,10.1016/j.foodchem.2012.07.058,"raisin, molasses, dried fruit, coffee, orange peel, vanilla and butterscotch",0,0,0,0,1,1,0,1,0,0
Херес Vina 25,Pedro Ximenez,2010, Cordoba, Spain,168,278,156,85,0,16.7,0.717,0,0,0,0,0.013,0.189,2260,14,0,0,0.0087,1.01,0.072,0.037,0,32,0.019,0,84,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0.059,0.033,0.0148,1.371,0,0,0,0,0,10.1016/j.foodchem.2012.07.058,"figs, raisins, dates, walnuts, coffee",0,0,0,0,0,1,1,1,0,0
Tinto Pesquera,Monastrell,1996, Murcia,Spain,0,0,54.52,35.36,0,66.87,0.75,0,18.68,84.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0767,0.14,0,0,0,0,0,0,10.1021/jf9813135,"closed, leather, smoke, oak wood, black pepper, thin",1,1,1,0,0,0,0,0,0,0
Gran Pasas,Monastrell,1996, Murcia,Spain,0,0,34.64,34.64,0,48.94,0.64,0,19.22,87.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0.22,0.2667,0,0,0,0,0,0,10.1021/jf9813135,"ripe blackberries and ripe cherries, wild herbs and dark chocolate",1,0,0,1,0,0,0,0,1,0
Pasas,Monastrell,1996, Murcia,Spain,0,0,78.93,34.89,0,63.61,0.56,0,16.92,76.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.08,0.1467,0,0,0,0,0,0,10.1021/jf9813135,"cherries, blueberries and blackberries, wild herbs and wood",1,1,0,1,0,0,0,0,0,0
Fondillon,Monastrell,1996, Murcia,Spain,0,0,107.13,30.91,0,60.27,0.55,0,21.54,102.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267,0.0733,0.2367,0,0,0,0,0,0,10.1021/jf9813135,"jasmine, resin, oak toast and gooseberry jams",0,0,1,1,0,0,0,0,0,1
Vinas de Gain,Monastrell,1996, Murcia,Spain,0,0,61.5,40.64,0,69.25,0.73,0,21.67,89.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233,0.0867,0.2167,0,0,0,0,0,0,10.1021/jf9813135,hot spices and cedar,1,0,0,0,1,0,0,0,0,0
San Simon Jumilla,Monastrell,1996, Murcia,Spain,0,0,68.19,37.91,0,63.94,0.5,0,17.53,81.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333,0.0667,0.35,0,0,0,0,0,0,10.1021/jf9813135,"black currant, blackberry, blueberry, black plum, coffee",0,0,0,1,0,0,0,1,0,0
Gaspi,Monastrell,1996, Murcia,Spain,0,0,57.49,35.67,0,70.75,0.74,0,15.63,73.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333,0.1433,0.1933,0,0,0,0,0,0,10.1021/jf9813135,"ripe red and black berries, spicy",1,0,0,0,0,1,0,0,0,0
Ribera del Segura,Monastrell,1996, Murcia,Spain,0,0,67.65,31.84,0,72.42,0.79,0,17.49,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0667,0.1533,0,0,0,0,0,0,10.1021/jf9813135,"raspberry, strawberry, red plum, pomegranate, mint",1,0,0,1,0,1,0,0,0,0
Vina Alberdi,Tempranillo,2008, La Rioja, Spain,0,0,0,0.154,0.789,0,0.243,0,16.185,16.185,3.519,0,0.847,0,6.357,0,0.009,0.006,0.245,0.325,0,0,0,0,0,0,0,0,0.057,0.064,0,0,0,0,0,0.011,0,0,0,0,0.133,0.088,0,0,0,0,0.027,0.027,0,10.1002/jsfa.4673,"ripe fruits, strawberry jam, hints of cocoa, vanilla, caramel and smoke",0,1,0,0,0,1,0,0,1,0
1000 Mil Hojas,Tempranillo,2008, La Rioja, Spain,0,0,0,0.114,0.419,0,0.23,0,13.007,13.007,2.874,0,0.633,0,6.269,0,0.008,0.014,0.239,0.528,0,0,0,0,0,0,0,0,0.076,0.061,0,0,0,0,0,0.009,0,0,0,0,0.129,0.095,0.016,0,0,0,0.0225,0.0225,0,10.1002/jsfa.4673,fruity and spicy accents,1,0,0,0,0,1,0,0,0,0
La Doncella,Tempranillo,2008, La Rioja, Spain,0,0,0,0.854,0.502,0,0.427,0,15.715,15.715,3.975,0,0.717,0,6.137,0,0,0.019,0.149,0.35,0,0,0,0,0,0,0,0,0.057,0.064,0,0,0,0,0,0.008,0,0,0,0,0.096,0.079,0,0,0,0,0.0185,0.0185,0,10.1002/jsfa.4673,fruity aroma of cherry and raspberry with notes of truffles,0,0,0,1,0,1,0,0,1,0
Iberglobal Don,Tempranillo,2008, La Rioja, Spain,0,0,0,0.2,0.389,0,0.248,0,11.488,11.488,2.83,0,0.578,0,7.223,0,0.016,0.017,0.193,0.611,0,0,0,0,0,0,0,0,0.046,0.059,0,0,0,0,0,0.012,0,0,0,0,0.183,0.243,0.09,0,0,0,0.018,0.018,0,10.1002/jsfa.4673,"dark fruits, oak tones",0,0,1,0,0,1,0,0,0,0
Terreus,Tempranillo,2008, La Rioja, Spain,0,0,0,0.221,0.925,0,0.264,0,16.527,16.527,4.118,0,0.78,0,6.823,0,0,0,0,0.395,0,0,0,0,0,0,0,0,0.061,0.067,0,0,0,0,0,0.012,0,0,0,0,0.196,0.195,0.077,0,0,0,0,0,0,10.1002/jsfa.4673,"mineral notes, tones of black berries (blackberries, currants) and licorice against a background of flowers, toast, Cuban cigars and herbal notes",1,1,0,1,0,0,0,0,0,1
Paul&Remy, Tempranillo ,2018,Ribera del Duero,Spain,0,0,0,0.218,0,0,0.245,0.245,0,54,88.2,0.004,2.29,0,66.6,0,0.026,10.6,0,0.756,0,4.48,0,0,0.462,66.2,0,0,0,2.74,0,0,0,0,0,0,0,0,0,0.083,0.456,1.6,0.239,0,0,0,0,0,0,10.1016/j.foodchem.2021.130850,"Pleasant, fresh, with hints of red fruit, raspberry and balsamic, notes of vanilla and licorice",1,0,0,1,0,1,0,0,0,0
de Sol a Sol, Tempranillo ,2018,Ribera del Duero,Spain,0,0,0,0.259,0,0,0.418,0.418,0,60.2,93.3,0.005,2.89,0,41.6,0,0.047,14.2,0,0.399,0,6.43,0,0,0.433,119,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0.118,0.535,1.39,0.168,0,0,0,0,0,0,10.1016/j.foodchem.2021.130850,"ripe red fruits and berries, vanilla, licorice and smoked bacon",1,0,0,1,0,1,0,0,0,0
Viridiana, Tempranillo ,2019,Ribera del Duero,Spain,0,0,0,0.023,0,0,0,0,0,12.6,19.4,0,0.367,0,11.3,0,0,4.88,0,0.19,0,3.6,0,0,0.028,18.1,0,0,0,0.723,0,0,0,0,0,0,0,0,0,0.05,0.302,0.796,0.36,0,0,0,0,0,0,10.1016/j.foodchem.2021.130850,"forest fruits, spices, rich, fresh, lively, red fruits, smooth tannins, acidity, dry",1,0,0,0,0,1,0,0,0,0
Conde Pinel, Tempranillo ,2019,Ribera del Duero,Spain,0,0,0,0.032,0,0,0,0,0,9.69,15,0,0.403,0,8.85,0,0,5.66,0,0.153,0,0,0,0,0.028,19.7,0,0,0,0.733,0,0,0,0,0,0,0,0,0,0.059,0.303,0.792,0.364,0,0,0,0,0,0,10.1016/j.foodchem.2021.130850,"ripe cherries and strawberries, exotic spices and eucalyptus",1,0,1,1,0,0,0,0,0,0
Mandolas,Furmint,2020,,Hungary,0,0,0,0,0,0,0,0,0,6.739,1.596,0,0.774,0.845,3.053,0,0,7.938,1.866,0.397,0.131,6.598,13.295,0,0,0,0,0,0,2.883,0,0,0,0,0.043,0.031,0,0.025,0,0.098,0.547,2.023,0.836,0,0,0,0,0,0,10.1016/j.jchromb.2021.122565,"ripe stone fruits, honey, flowers and minerals",0,0,0,0,0,1,0,0,0,1
Vino Vdovjak,Lipovina,2020,,Hungary,0,0,0,0,0,0,0,0,0,7.071,1.283,0,0.93,0.976,3.718,0,0,12.582,1.53,0.64,0.068,0,13.643,0,0,0,0,0,0,3.335,0,0,0,0,0.055,0.075,0.003,0.035,0,0.068,0.336,2.621,1.198,0,0,0,0,0,0,10.1016/j.jchromb.2021.122565,"Lemon zest, pepper, vanilla.",1,0,0,0,1,0,0,0,0,0
Tokaji Muskotaly,Muskat,2020,,Hungary,0,0,0,0,0,0,0,0,0,6.1,0.651,0,0.58,1.176,2.794,0,0,13.595,1.485,0.658,0.079,0,0,0,0,0,0,0,0,4.207,0,0,0,0,0.314,0.394,0.165,0.152,0.143,0.065,0.312,2.447,1.295,0,0,0,0,0,0,10.1016/j.jchromb.2021.122565,"fruity and floral shades: pineapple, lychee, ripe peach, rose and peonies.",1,0,0,0,0,1,0,0,0,1
De Martino,Carignan,2016,del Maule, Chile,0,0,0,13.83,0,29.16,0,0,55.79,157.95,0,0,0.00219,0,67.64,0,0,0.12319,0,0.08457,0,0.06906,0,0.85475,0,0,0,0,0,0.30226,0,0,0,0,0.00226,0.00803,0,0.01148,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"ripe dark red fruits, hints of herbs, smoke, fennel, moist soil and black licorice",1,1,0,0,0,0,0,0,0,0
Carignan Cien,Carignan,2016,del Maule, Chile,0,0,0,8.97,0,29.25,0,0,60.52,154.26,0,0,0.00374,0,99.47,0,0,0.2602,0,0.10683,0,0.11875,0,0.26722,0,0,0,0,0,0.33619,0,0,0,0,0.00338,0.0093,0,0.00832,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"blackberries, cherries, currants, mulberries and sweet spices",1,0,0,1,0,0,0,0,0,0
Cien Carignan,Carignan,2016,del Maule, Chile,0,0,0,7.68,0,41.85,0,0,112.03,328.08,0,0,0.0021,0,122.96,0,0,0.05413,0,0.04941,0,0.03138,0,0.62093,0,0,0,0,0,0.05602,0,0,0,0,0.00337,0.00977,0,0.00191,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"fruity, oak, spice, licorice, plum and red berries",1,1,0,1,0,1,0,0,0,0
Orzado,Carignan,2016,del Maule, Chile,0,0,0,9.77,0,23.55,0,0,59.36,145.54,0,0,0.00311,0,117.6,0,0,0.30472,0,0.09791,0,0.13331,0,0.22736,0,0,0,0,0,0.33571,0,0,0,0,0.00398,0.00754,0,0.00816,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"cherry liqueur, licorice, apricots, white peaches, pears, lychee, jasmine",1,0,0,1,0,0,0,0,0,1
Luis Felipe Edwards Carignan,Carignan,2016,del Maule, Chile,0,0,0,13.62,0,44.07,0,0,61.51,169.8,0,0,0.00265,0,52.45,0,0,0.12309,0,0.04548,0,0.07208,0,0.28409,0,0,0,0,0,0.32564,0,0,0,0,0.00342,0.01057,0,0.01086,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"baked goods with cinnamon, dark berry fruit drinks, tobacco and licorice",1,0,0,1,0,0,0,0,0,0
Vina Canepa Genovino,Carignan,2015,del Maule, Chile,0,0,0,5.28,0,22.42,0,0,68.25,169.73,0,0,0.00374,0,129.79,0,0,0.29656,0,0.11248,0,0.1318,0,0.21911,0,0,0,0,0,0.31105,0,0,0,0,0.00584,0.00971,0,0.00535,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"red fruits, chocolate, coffee and black pepper",1,1,0,1,0,0,0,0,0,0
Cordillera,Carignan,2015,del Maule, Chile,0,0,0,12.18,0,25.85,0,0,66.21,175,0,0,0.0034,0,56.93,0,0,0.16679,0,0.0777,0,0.04539,0,0.74732,0,0,0,0,0,0.4203,0,0,0,0,0.00474,0.01191,0,0.00856,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"black currant, blueberry, notes of pepper, cloves, tobacco",1,1,0,1,0,0,0,0,0,0
Crazy Rows ,Carignan,2015,del Maule, Chile,0,0,0,8.07,0,31.52,0,0,60.91,152.56,0,0,0.00285,0,112.3,0,0,0.37773,0,0.15879,0,0.15049,0,0.56785,0,0,0,0,0,0.3728,0,0,0,0,0.00419,0.00809,0,0.00681,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,fruity and spicy,1,0,0,0,0,1,0,0,0,0
Siegel Los Lingues,Carignan,2015,del Maule, Chile,0,0,0,9.66,0,36.39,0,0,55.15,152.6,0,0,0.00155,0,37.42,0,0,0.07855,0,0.1134,0,0.04649,0,0.39001,0,0,0,0,0,0.11925,0,0,0,0,0.00306,0.00848,0,0.00554,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"red fruits, toast",0,0,0,0,0,1,0,0,0,0
Cono Sur Single Vineyard,Carignan,2015,del Maule, Chile,0,0,0,10.28,0,33.68,0,0,78.7,206.19,0,0,0.00334,0,113.81,0,0,0.40255,0,0.1426,0,0.16237,0,0.55287,0,0,0,0,0,0.44327,0,0,0,0,0.00531,0.01001,0,0.0069,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"red berries, currants, plums, hints of oak, tobacco",0,1,1,1,0,0,0,0,0,0
Cordillera Vigno,Carignan,2015,del Maule, Chile,0,0,0,8.81,0,37.21,0,0,66.34,179.3,0,0,0.00321,0,32.56,0,0,0.09145,0,0.08634,0,0.05737,0,0.24595,0,0,0,0,0,0.17878,0,0,0,0,0.00468,0.0139,0,0.00854,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"Floral and fruity aroma on a background of toasted notes from the cask, bay and mint",1,0,1,0,0,1,0,0,0,0
Carmen Gran Reserva,Carignan,2015,del Maule, Chile,0,0,0,10.12,0,27.4,0,0,70.2,181.98,0,0,0.00354,0,128.35,0,0,0.21249,0,0.09274,0,0.13962,0,0.17892,0,0,0,0,0,0.17347,0,0,0,0,0.00314,0.00705,0,0.00826,0,0,0,0,0,0,0,0,0,0,0,10.1002/jsfa.8949,"red fruits, earthy tones, graphite",0,0,0,0,0,1,0,0,0,0
